Example response to /action,41743
/fx/4/fxparam/3/value (0.0,)
/fx/4/fxparam/4/name ('',)
/fx/4/fxparam/4/value/str ('',)
/fx/4/fxparam/4/value (0.0,)
/fx/4/fxparam/5/name ('',)
/fx/4/fxparam/5/value/str ('',)
/fx/4/fxparam/5/value (0.0,)
/fx/4/fxparam/6/name ('',)
/fx/4/fxparam/6/value/str ('',)
/fx/4/fxparam/6/value (0.0,)
/fx/4/fxparam/7/name ('',)
/fx/4/fxparam/7/value/str ('',)
/fx/4/fxparam/7/value (0.0,)
/fx/4/fxparam/8/name ('',)
/fx/4/fxparam/8/value/str ('',)
/fx/4/fxparam/8/value (0.0,)
/fx/4/fxparam/9/name ('',)
/fx/4/fxparam/9/value/str ('',)
/fx/4/fxparam/9/value (0.0,)
/fx/4/fxparam/10/name ('',)
/fx/4/fxparam/10/value/str ('',)
/fx/4/fxparam/10/value (0.0,)
/fx/4/fxparam/11/name ('',)
/fx/4/fxparam/11/value/str ('',)
/fx/4/fxparam/11/value (0.0,)
/fx/4/fxparam/12/name ('',)
/fx/4/fxparam/12/value/str ('',)
/fx/4/fxparam/12/value (0.0,)
/fx/4/fxparam/13/name ('',)
/fx/4/fxparam/13/value/str ('',)
/fx/4/fxparam/13/value (0.0,)
/fx/4/fxparam/14/name ('',)
/fx/4/fxparam/14/value/str ('',)
/fx/4/fxparam/14/value (0.0,)
/fx/4/fxparam/15/name ('',)
/fx/4/fxparam/15/value/str ('',)
/fx/4/fxparam/15/value (0.0,)
/fx/4/fxparam/16/name ('',)
/fx/4/fxparam/16/value/str ('',)
/fx/4/fxparam/16/value (0.0,)
/fx/5/name ('',)
/fx/5/number/str ('',)
/fx/5/preset ('',)
/fx/5/bypass (0.0,)
/fx/5/openui (0.0,)
/fx/5/fxparam/1/name ('',)
/fx/5/fxparam/1/value/str ('',)
/fx/5/fxparam/1/value (0.0,)
/fx/5/fxparam/2/name ('',)
/fx/5/fxparam/2/value/str ('',)
/fx/5/fxparam/2/value (0.0,)
/fx/5/fxparam/3/name ('',)
/fx/5/fxparam/3/value/str ('',)
/fx/5/fxparam/3/value (0.0,)
/fx/5/fxparam/4/name ('',)
/fx/5/fxparam/4/value/str ('',)
/fx/5/fxparam/4/value (0.0,)
/fx/5/fxparam/5/name ('',)
/fx/5/fxparam/5/value/str ('',)
/fx/5/fxparam/5/value (0.0,)
/fx/5/fxparam/6/name ('',)
/fx/5/fxparam/6/value/str ('',)
/fx/5/fxparam/6/value (0.0,)
/fx/5/fxparam/7/name ('',)
/fx/5/fxparam/7/value/str ('',)
/fx/5/fxparam/7/value (0.0,)
/fx/5/fxparam/8/name ('',)
/fx/5/fxparam/8/value/str ('',)
/fx/5/fxparam/8/value (0.0,)
/fx/5/fxparam/9/name ('',)
/fx/5/fxparam/9/value/str ('',)
/fx/5/fxparam/9/value (0.0,)
/fx/5/fxparam/10/name ('',)
/fx/5/fxparam/10/value/str ('',)
/fx/5/fxparam/10/value (0.0,)
/fx/5/fxparam/11/name ('',)
/fx/5/fxparam/11/value/str ('',)
/fx/5/fxparam/11/value (0.0,)
/fx/5/fxparam/12/name ('',)
/fx/5/fxparam/12/value/str ('',)
/fx/5/fxparam/12/value (0.0,)
/fx/5/fxparam/13/name ('',)
/fx/5/fxparam/13/value/str ('',)
/fx/5/fxparam/13/value (0.0,)
/fx/5/fxparam/14/name ('',)
/fx/5/fxparam/14/value/str ('',)
/fx/5/fxparam/14/value (0.0,)
/fx/5/fxparam/15/name ('',)
/fx/5/fxparam/15/value/str ('',)
/fx/5/fxparam/15/value (0.0,)
/fx/5/fxparam/16/name ('',)
/fx/5/fxparam/16/value/str ('',)
/fx/5/fxparam/16/value (0.0,)
/fx/6/name ('',)
/fx/6/number/str ('',)
/fx/6/preset ('',)
/fx/6/bypass (0.0,)
/fx/6/openui (0.0,)
/fx/6/fxparam/1/name ('',)
/fx/6/fxparam/1/value/str ('',)
/fx/6/fxparam/1/value (0.0,)
/fx/6/fxparam/2/name ('',)
/fx/6/fxparam/2/value/str ('',)
/fx/6/fxparam/2/value (0.0,)
/fx/6/fxparam/3/name ('',)
/fx/6/fxparam/3/value/str ('',)
/fx/6/fxparam/3/value (0.0,)
/fx/6/fxparam/4/name ('',)
/fx/6/fxparam/4/value/str ('',)
/fx/6/fxparam/4/value (0.0,)
/fx/6/fxparam/5/name ('',)
/fx/6/fxparam/5/value/str ('',)
/fx/6/fxparam/5/value (0.0,)
/fx/6/fxparam/6/name ('',)
/fx/6/fxparam/6/value/str ('',)
/fx/6/fxparam/6/value (0.0,)
/fx/6/fxparam/7/name ('',)
