Example response to /action,41743
/track/3/fx/6/fxparam/10/value (0.0,)
/track/3/fx/6/fxparam/11/value (0.0,)
/track/3/fx/6/fxparam/12/value (0.0,)
/track/3/fx/6/fxparam/13/value (0.0,)
/track/3/fx/6/fxparam/14/value (0.0,)
/track/3/fx/6/fxparam/15/value (0.0,)
/track/3/fx/6/fxparam/16/value (0.0,)
/track/3/fx/7/name ('',)
/track/3/fx/7/number/str ('',)
/track/3/fx/7/preset ('',)
/track/3/fx/7/bypass (0.0,)
/track/3/fx/7/openui (0.0,)
/track/3/fx/7/fxparam/1/value (0.0,)
/track/3/fx/7/fxparam/2/value (0.0,)
/track/3/fx/7/fxparam/3/value (0.0,)
/track/3/fx/7/fxparam/4/value (0.0,)
/track/3/fx/7/fxparam/5/value (0.0,)
/track/3/fx/7/fxparam/6/value (0.0,)
/track/3/fx/7/fxparam/7/value (0.0,)
/track/3/fx/7/fxparam/8/value (0.0,)
/track/3/fx/7/fxparam/9/value (0.0,)
/track/3/fx/7/fxparam/10/value (0.0,)
/track/3/fx/7/fxparam/11/value (0.0,)
/track/3/fx/7/fxparam/12/value (0.0,)
/track/3/fx/7/fxparam/13/value (0.0,)
/track/3/fx/7/fxparam/14/value (0.0,)
/track/3/fx/7/fxparam/15/value (0.0,)
/track/3/fx/7/fxparam/16/value (0.0,)
/track/3/fx/8/name ('',)
/track/3/fx/8/number/str ('',)
/track/3/fx/8/preset ('',)
/track/3/fx/8/bypass (0.0,)
/track/3/fx/8/openui (0.0,)
/track/3/fx/8/fxparam/1/value (0.0,)
/track/3/fx/8/fxparam/2/value (0.0,)
/track/3/fx/8/fxparam/3/value (0.0,)
/track/3/fx/8/fxparam/4/value (0.0,)
/track/3/fx/8/fxparam/5/value (0.0,)
/track/3/fx/8/fxparam/6/value (0.0,)
/track/3/fx/8/fxparam/7/value (0.0,)
/track/3/fx/8/fxparam/8/value (0.0,)
/track/3/fx/8/fxparam/9/value (0.0,)
/track/3/fx/8/fxparam/10/value (0.0,)
/track/3/fx/8/fxparam/11/value (0.0,)
/track/3/fx/8/fxparam/12/value (0.0,)
/track/3/fx/8/fxparam/13/value (0.0,)
/track/3/fx/8/fxparam/14/value (0.0,)
/track/3/fx/8/fxparam/15/value (0.0,)
/track/3/fx/8/fxparam/16/value (0.0,)
/track/4/name ('Track 4',)
/track/4/number/str ('4',)
/track/4/select (0.0,)
/track/4/volume/db (-150.0,)
/track/4/volume/str ('-inf dB',)
/track/4/volume (0.0025138729251921177,)
/track/4/panmode ('Balance',)
/track/4/pan2 (0.5,)
/track/4/pan2/str ('',)
/track/4/pan (0.5,)
/track/4/pan/str ('C',)
/track/4/mute (0.0,)
/track/4/mute/toggle (0.0,)
/track/4/solo (0.0,)
/track/4/solo/toggle (0.0,)
/track/4/recarm (0.0,)
/track/4/recarm/toggle (0.0,)
/track/4/monitor (0.0,)
/track/4/autotrim (1.0,)
/track/4/autoread (0.0,)
/track/4/autolatch (0.0,)
/track/4/autotouch (0.0,)
/track/4/autowrite (0.0,)
/track/4/send/1/name ('Send 1',)
/track/4/send/1/volume/str ('-inf dB',)
/track/4/send/1/volume (0.0025138729251921177,)
/track/4/send/1/pan/str ('center',)
/track/4/send/1/pan (0.5,)
/track/4/send/2/name ('Send 2',)
/track/4/send/2/volume/str ('-inf dB',)
/track/4/send/2/volume (0.0025138729251921177,)
/track/4/send/2/pan/str ('center',)
/track/4/send/2/pan (0.5,)
/track/4/send/3/name ('Send 3',)
/track/4/send/3/volume/str ('-inf dB',)
/track/4/send/3/volume (0.0025138729251921177,)
/track/4/send/3/pan/str ('center',)
/track/4/send/3/pan (0.5,)
/track/4/send/4/name ('Send 4',)
/track/4/send/4/volume/str ('-inf dB',)
/track/4/send/4/volume (0.0025138729251921177,)
/track/4/send/4/pan/str ('center',)
/track/4/send/4/pan (0.5,)
/track/4/recv/1/name ('Recv 1',)
/track/4/recv/1/volume/str ('-inf dB',)
/track/4/recv/1/volume (0.0025138729251921177,)
/track/4/recv/1/pan/str ('center',)
/track/4/recv/1/pan (0.5,)
/track/4/recv/2/name ('Recv 2',)
/track/4/recv/2/volume/str ('-inf dB',)
/track/4/recv/2/volume (0.0025138729251921177,)
/track/4/recv/2/pan/str ('center',)
/track/4/recv/2/pan (0.5,)
/track/4/recv/3/name ('Recv 3',)
/track/4/recv/3/volume/str ('-inf dB',)
/track/4/recv/3/volume (0.0025138729251921177,)
/track/4/recv/3/pan/str ('center',)
/track/4/recv/3/pan (0.5,)
/track/4/recv/4/name ('Recv 4',)
/track/4/recv/4/volume/str ('-inf dB',)
/track/4/recv/4/volume (0.0025138729251921177,)
/track/4/recv/4/pan/str ('center',)
/track/4/recv/4/pan (0.5,)
/track/4/fx/1/name ('',)
/track/4/fx/1/number/str ('',)
/track/4/fx/1/preset ('',)
/track/4/fx/1/bypass (0.0,)
/track/4/fx/1/openui (0.0,)
/track/4/fx/1/fxparam/1/value (0.0,)
/track/4/fx/1/fxparam/2/value (0.0,)
/track/4/fx/1/fxparam/3/value (0.0,)
/track/4/fx/1/fxparam/4/value (0.0,)
/track/4/fx/1/fxparam/5/value (0.0,)
/track/4/fx/1/fxparam/6/value (0.0,)
/track/4/fx/1/fxparam/7/value (0.0,)
/track/4/fx/1/fxparam/8/value (0.0,)
/track/4/fx/1/fxparam/9/value (0.0,)
/track/4/fx/1/fxparam/10/value (0.0,)
/track/4/fx/1/fxparam/11/value (0.0,)
/track/4/fx/1/fxparam/12/value (0.0,)
/track/4/fx/1/fxparam/13/value (0.0,)
/track/4/fx/1/fxparam/14/value (0.0,)
/track/4/fx/1/fxparam/15/value (0.0,)
/track/4/fx/1/fxparam/16/value (0.0,)
/track/4/fxinst/name ('',)
/track/4/fxinst/preset ('',)
/track/4/fxinst/bypass (0.0,)
/track/4/fxinst/openui (0.0,)
/track/4/fx/2/name ('',)
/track/4/fx/2/number/str ('',)
/track/4/fx/2/preset ('',)
/track/4/fx/2/bypass (0.0,)
/track/4/fx/2/openui (0.0,)
/track/4/fx/2/fxparam/1/value (0.0,)
/track/4/fx/2/fxparam/2/value (0.0,)
/track/4/fx/2/fxparam/3/value (0.0,)
/track/4/fx/2/fxparam/4/value (0.0,)
/track/4/fx/2/fxparam/5/value (0.0,)
/track/4/fx/2/fxparam/6/value (0.0,)
/track/4/fx/2/fxparam/7/value (0.0,)
/track/4/fx/2/fxparam/8/value (0.0,)
/track/4/fx/2/fxparam/9/value (0.0,)
/track/4/fx/2/fxparam/10/value (0.0,)
/track/4/fx/2/fxparam/11/value (0.0,)
/track/4/fx/2/fxparam/12/value (0.0,)
/track/4/fx/2/fxparam/13/value (0.0,)
/track/4/fx/2/fxparam/14/value (0.0,)
/track/4/fx/2/fxparam/15/value (0.0,)
/track/4/fx/2/fxparam/16/value (0.0,)
/track/4/fx/3/name ('',)
/track/4/fx/3/number/str ('',)
/track/4/fx/3/preset ('',)
/track/4/fx/3/bypass (0.0,)
/track/4/fx/3/openui (0.0,)
/track/4/fx/3/fxparam/1/value (0.0,)
/track/4/fx/3/fxparam/2/value (0.0,)
/track/4/fx/3/fxparam/3/value (0.0,)
/track/4/fx/3/fxparam/4/value (0.0,)
/track/4/fx/3/fxparam/5/value (0.0,)
/track/4/fx/3/fxparam/6/value (0.0,)
/track/4/fx/3/fxparam/7/value (0.0,)
/track/4/fx/3/fxparam/8/value (0.0,)
/track/4/fx/3/fxparam/9/value (0.0,)
/track/4/fx/3/fxparam/10/value (0.0,)
/track/4/fx/3/fxparam/11/value (0.0,)
/track/4/fx/3/fxparam/12/value (0.0,)
/track/4/fx/3/fxparam/13/value (0.0,)
/track/4/fx/3/fxparam/14/value (0.0,)
/track/4/fx/3/fxparam/15/value (0.0,)
/track/4/fx/3/fxparam/16/value (0.0,)
/track/4/fx/4/name ('',)
/track/4/fx/4/number/str ('',)
/track/4/fx/4/preset ('',)
/track/4/fx/4/bypass (0.0,)
/track/4/fx/4/openui (0.0,)
/track/4/fx/4/fxparam/1/value (0.0,)
/track/4/fx/4/fxparam/2/value (0.0,)
/track/4/fx/4/fxparam/3/value (0.0,)
/track/4/fx/4/fxparam/4/value (0.0,)
/track/4/fx/4/fxparam/5/value (0.0,)
/track/4/fx/4/fxparam/6/value (0.0,)
/track/4/fx/4/fxparam/7/value (0.0,)
/track/4/fx/4/fxparam/8/value (0.0,)
/track/4/fx/4/fxparam/9/value (0.0,)
/track/4/fx/4/fxparam/10/value (0.0,)
/track/4/fx/4/fxparam/11/value (0.0,)
/track/4/fx/4/fxparam/12/value (0.0,)
/track/4/fx/4/fxparam/13/value (0.0,)
/track/4/fx/4/fxparam/14/value (0.0,)
/track/4/fx/4/fxparam/15/value (0.0,)
/track/4/fx/4/fxparam/16/value (0.0,)
/track/4/fx/5/name ('',)
/track/4/fx/5/number/str ('',)
/track/4/fx/5/preset ('',)
/track/4/fx/5/bypass (0.0,)
/track/4/fx/5/openui (0.0,)
/track/4/fx/5/fxparam/1/value (0.0,)
/track/4/fx/5/fxparam/2/value (0.0,)
/track/4/fx/5/fxparam/3/value (0.0,)
/track/4/fx/5/fxparam/4/value (0.0,)
/track/4/fx/5/fxparam/5/value (0.0,)
/track/4/fx/5/fxparam/6/value (0.0,)
/track/4/fx/5/fxparam/7/value (0.0,)
/track/4/fx/5/fxparam/8/value (0.0,)
/track/4/fx/5/fxparam/9/value (0.0,)
/track/4/fx/5/fxparam/10/value (0.0,)
/track/4/fx/5/fxparam/11/value (0.0,)
/track/4/fx/5/fxparam/12/value (0.0,)
/track/4/fx/5/fxparam/13/value (0.0,)
/track/4/fx/5/fxparam/14/value (0.0,)
/track/4/fx/5/fxparam/15/value (0.0,)
/track/4/fx/5/fxparam/16/value (0.0,)
/track/4/fx/6/name ('',)
/track/4/fx/6/number/str ('',)
/track/4/fx/6/preset ('',)
/track/4/fx/6/bypass (0.0,)
/track/4/fx/6/openui (0.0,)
/track/4/fx/6/fxparam/1/value (0.0,)
/track/4/fx/6/fxparam/2/value (0.0,)
/track/4/fx/6/fxparam/3/value (0.0,)
/track/4/fx/6/fxparam/4/value (0.0,)
/track/4/fx/6/fxparam/5/value (0.0,)
/track/4/fx/6/fxparam/6/value (0.0,)
/track/4/fx/6/fxparam/7/value (0.0,)
/track/4/fx/6/fxparam/8/value (0.0,)
/track/4/fx/6/fxparam/9/value (0.0,)
/track/4/fx/6/fxparam/10/value (0.0,)
/track/4/fx/6/fxparam/11/value (0.0,)
/track/4/fx/6/fxparam/12/value (0.0,)
/track/4/fx/6/fxparam/13/value (0.0,)
/track/4/fx/6/fxparam/14/value (0.0,)
/track/4/fx/6/fxparam/15/value (0.0,)
/track/4/fx/6/fxparam/16/value (0.0,)
/track/4/fx/7/name ('',)
/track/4/fx/7/number/str ('',)
/track/4/fx/7/preset ('',)
/track/4/fx/7/bypass (0.0,)
/track/4/fx/7/openui (0.0,)
/track/4/fx/7/fxparam/1/value (0.0,)
/track/4/fx/7/fxparam/2/value (0.0,)
/track/4/fx/7/fxparam/3/value (0.0,)
/track/4/fx/7/fxparam/4/value (0.0,)
/track/4/fx/7/fxparam/5/value (0.0,)
/track/4/fx/7/fxparam/6/value (0.0,)
/track/4/fx/7/fxparam/7/value (0.0,)
/track/4/fx/7/fxparam/8/value (0.0,)
/track/4/fx/7/fxparam/9/value (0.0,)
/track/4/fx/7/fxparam/10/value (0.0,)
/track/4/fx/7/fxparam/11/value (0.0,)
/track/4/fx/7/fxparam/12/value (0.0,)
/track/4/fx/7/fxparam/13/value (0.0,)
/track/4/fx/7/fxparam/14/value (0.0,)
/track/4/fx/7/fxparam/15/value (0.0,)
/track/4/fx/7/fxparam/16/value (0.0,)
/track/4/fx/8/name ('',)
/track/4/fx/8/number/str ('',)
/track/4/fx/8/preset ('',)
/track/4/fx/8/bypass (0.0,)
/track/4/fx/8/openui (0.0,)
/track/4/fx/8/fxparam/1/value (0.0,)
/track/4/fx/8/fxparam/2/value (0.0,)
/track/4/fx/8/fxparam/3/value (0.0,)
/track/4/fx/8/fxparam/4/value (0.0,)
/track/4/fx/8/fxparam/5/value (0.0,)
/track/4/fx/8/fxparam/6/value (0.0,)
/track/4/fx/8/fxparam/7/value (0.0,)
/track/4/fx/8/fxparam/8/value (0.0,)
/track/4/fx/8/fxparam/9/value (0.0,)
/track/4/fx/8/fxparam/10/value (0.0,)
/track/4/fx/8/fxparam/11/value (0.0,)
/track/4/fx/8/fxparam/12/value (0.0,)
/track/4/fx/8/fxparam/13/value (0.0,)
/track/4/fx/8/fxparam/14/value (0.0,)
/track/4/fx/8/fxparam/15/value (0.0,)
/track/4/fx/8/fxparam/16/value (0.0,)
/track/5/name ('Track 5',)
/track/5/number/str ('5',)
/track/5/select (0.0,)
/track/5/volume/db (-150.0,)
/track/5/volume/str ('-inf dB',)
/track/5/volume (0.0025138729251921177,)
/track/5/panmode ('Balance',)
/track/5/pan2 (0.5,)
/track/5/pan2/str ('',)
/track/5/pan (0.5,)
/track/5/pan/str ('C',)
/track/5/mute (0.0,)
/track/5/mute/toggle (0.0,)
/track/5/solo (0.0,)
/track/5/solo/toggle (0.0,)
/track/5/recarm (0.0,)
/track/5/recarm/toggle (0.0,)
/track/5/monitor (0.0,)
/track/5/autotrim (1.0,)
/track/5/autoread (0.0,)
/track/5/autolatch (0.0,)
/track/5/autotouch (0.0,)
/track/5/autowrite (0.0,)
/track/5/send/1/name ('Send 1',)
/track/5/send/1/volume/str ('-inf dB',)
/track/5/send/1/volume (0.0025138729251921177,)
/track/5/send/1/pan/str ('center',)
/track/5/send/1/pan (0.5,)
/track/5/send/2/name ('Send 2',)
/track/5/send/2/volume/str ('-inf dB',)
/track/5/send/2/volume (0.0025138729251921177,)
/track/5/send/2/pan/str ('center',)
/track/5/send/2/pan (0.5,)
/track/5/send/3/name ('Send 3',)
/track/5/send/3/volume/str ('-inf dB',)
/track/5/send/3/volume (0.0025138729251921177,)
/track/5/send/3/pan/str ('center',)
/track/5/send/3/pan (0.5,)
/track/5/send/4/name ('Send 4',)
/track/5/send/4/volume/str ('-inf dB',)
/track/5/send/4/volume (0.0025138729251921177,)
/track/5/send/4/pan/str ('center',)
/track/5/send/4/pan (0.5,)
/track/5/recv/1/name ('Recv 1',)
/track/5/recv/1/volume/str ('-inf dB',)
/track/5/recv/1/volume (0.0025138729251921177,)
/track/5/recv/1/pan/str ('center',)
/track/5/recv/1/pan (0.5,)
/track/5/recv/2/name ('Recv 2',)
/track/5/recv/2/volume/str ('-inf dB',)
/track/5/recv/2/volume (0.0025138729251921177,)
/track/5/recv/2/pan/str ('center',)
/track/5/recv/2/pan (0.5,)
/track/5/recv/3/name ('Recv 3',)
/track/5/recv/3/volume/str ('-inf dB',)
/track/5/recv/3/volume (0.0025138729251921177,)
/track/5/recv/3/pan/str ('center',)
/track/5/recv/3/pan (0.5,)
/track/5/recv/4/name ('Recv 4',)
/track/5/recv/4/volume/str ('-inf dB',)
/track/5/recv/4/volume (0.0025138729251921177,)
/track/5/recv/4/pan/str ('center',)
/track/5/recv/4/pan (0.5,)
/track/5/fx/1/name ('',)
/track/5/fx/1/number/str ('',)
/track/5/fx/1/preset ('',)
/track/5/fx/1/bypass (0.0,)
/track/5/fx/1/openui (0.0,)
/track/5/fx/1/fxparam/1/value (0.0,)
/track/5/fx/1/fxparam/2/value (0.0,)
/track/5/fx/1/fxparam/3/value (0.0,)
/track/5/fx/1/fxparam/4/value (0.0,)
/track/5/fx/1/fxparam/5/value (0.0,)
/track/5/fx/1/fxparam/6/value (0.0,)
/track/5/fx/1/fxparam/7/value (0.0,)
/track/5/fx/1/fxparam/8/value (0.0,)
/track/5/fx/1/fxparam/9/value (0.0,)
/track/5/fx/1/fxparam/10/value (0.0,)
/track/5/fx/1/fxparam/11/value (0.0,)
/track/5/fx/1/fxparam/12/value (0.0,)
/track/5/fx/1/fxparam/13/value (0.0,)
/track/5/fx/1/fxparam/14/value (0.0,)
/track/5/fx/1/fxparam/15/value (0.0,)
/track/5/fx/1/fxparam/16/value (0.0,)
/track/5/fxinst/name ('',)
/track/5/fxinst/preset ('',)
/track/5/fxinst/bypass (0.0,)
/track/5/fxinst/openui (0.0,)
/track/5/fx/2/name ('',)
/track/5/fx/2/number/str ('',)
/track/5/fx/2/preset ('',)
/track/5/fx/2/bypass (0.0,)
/track/5/fx/2/openui (0.0,)
/track/5/fx/2/fxparam/1/value (0.0,)
/track/5/fx/2/fxparam/2/value (0.0,)
/track/5/fx/2/fxparam/3/value (0.0,)
/track/5/fx/2/fxparam/4/value (0.0,)
/track/5/fx/2/fxparam/5/value (0.0,)
/track/5/fx/2/fxparam/6/value (0.0,)
/track/5/fx/2/fxparam/7/value (0.0,)
/track/5/fx/2/fxparam/8/value (0.0,)
/track/5/fx/2/fxparam/9/value (0.0,)
/track/5/fx/2/fxparam/10/value (0.0,)
/track/5/fx/2/fxparam/11/value (0.0,)
/track/5/fx/2/fxparam/12/value (0.0,)
/track/5/fx/2/fxparam/13/value (0.0,)
/track/5/fx/2/fxparam/14/value (0.0,)
/track/5/fx/2/fxparam/15/value (0.0,)
/track/5/fx/2/fxparam/16/value (0.0,)
/track/5/fx/3/name ('',)
/track/5/fx/3/number/str ('',)
/track/5/fx/3/preset ('',)
/track/5/fx/3/bypass (0.0,)
/track/5/fx/3/openui (0.0,)
/track/5/fx/3/fxparam/1/value (0.0,)
/track/5/fx/3/fxparam/2/value (0.0,)
/track/5/fx/3/fxparam/3/value (0.0,)
/track/5/fx/3/fxparam/4/value (0.0,)
/track/5/fx/3/fxparam/5/value (0.0,)
/track/5/fx/3/fxparam/6/value (0.0,)
/track/5/fx/3/fxparam/7/value (0.0,)
/track/5/fx/3/fxparam/8/value (0.0,)
/track/5/fx/3/fxparam/9/value (0.0,)
/track/5/fx/3/fxparam/10/value (0.0,)
/track/5/fx/3/fxparam/11/value (0.0,)
/track/5/fx/3/fxparam/12/value (0.0,)
/track/5/fx/3/fxparam/13/value (0.0,)
/track/5/fx/3/fxparam/14/value (0.0,)
/track/5/fx/3/fxparam/15/value (0.0,)
/track/5/fx/3/fxparam/16/value (0.0,)
/track/5/fx/4/name ('',)
/track/5/fx/4/number/str ('',)
/track/5/fx/4/preset ('',)
/track/5/fx/4/bypass (0.0,)
/track/5/fx/4/openui (0.0,)
/track/5/fx/4/fxparam/1/value (0.0,)
/track/5/fx/4/fxparam/2/value (0.0,)
/track/5/fx/4/fxparam/3/value (0.0,)
/track/5/fx/4/fxparam/4/value (0.0,)
/track/5/fx/4/fxparam/5/value (0.0,)
/track/5/fx/4/fxparam/6/value (0.0,)
/track/5/fx/4/fxparam/7/value (0.0,)
/track/5/fx/4/fxparam/8/value (0.0,)
/track/5/fx/4/fxparam/9/value (0.0,)
/track/5/fx/4/fxparam/10/value (0.0,)
/track/5/fx/4/fxparam/11/value (0.0,)
/track/5/fx/4/fxparam/12/value (0.0,)
/track/5/fx/4/fxparam/13/value (0.0,)
/track/5/fx/4/fxparam/14/value (0.0,)
/track/5/fx/4/fxparam/15/value (0.0,)
/track/5/fx/4/fxparam/16/value (0.0,)
/track/5/fx/5/name ('',)
/track/5/fx/5/number/str ('',)
/track/5/fx/5/preset ('',)
/track/5/fx/5/bypass (0.0,)
/track/5/fx/5/openui (0.0,)
/track/5/fx/5/fxparam/1/value (0.0,)
/track/5/fx/5/fxparam/2/value (0.0,)
/track/5/fx/5/fxparam/3/value (0.0,)
/track/5/fx/5/fxparam/4/value (0.0,)
/track/5/fx/5/fxparam/5/value (0.0,)
/track/5/fx/5/fxparam/6/value (0.0,)
/track/5/fx/5/fxparam/7/value (0.0,)
/track/5/fx/5/fxparam/8/value (0.0,)
/track/5/fx/5/fxparam/9/value (0.0,)
/track/5/fx/5/fxparam/10/value (0.0,)
/track/5/fx/5/fxparam/11/value (0.0,)
/track/5/fx/5/fxparam/12/value (0.0,)
/track/5/fx/5/fxparam/13/value (0.0,)
/track/5/fx/5/fxparam/14/value (0.0,)
/track/5/fx/5/fxparam/15/value (0.0,)
/track/5/fx/5/fxparam/16/value (0.0,)
/track/5/fx/6/name ('',)
/track/5/fx/6/number/str ('',)
/track/5/fx/6/preset ('',)
/track/5/fx/6/bypass (0.0,)
/track/5/fx/6/openui (0.0,)
/track/5/fx/6/fxparam/1/value (0.0,)
/track/5/fx/6/fxparam/2/value (0.0,)
/track/5/fx/6/fxparam/3/value (0.0,)
/track/5/fx/6/fxparam/4/value (0.0,)
/track/5/fx/6/fxparam/5/value (0.0,)
/track/5/fx/6/fxparam/6/value (0.0,)
/track/5/fx/6/fxparam/7/value (0.0,)
/track/5/fx/6/fxparam/8/value (0.0,)
/track/5/fx/6/fxparam/9/value (0.0,)
/track/5/fx/6/fxparam/10/value (0.0,)
/track/5/fx/6/fxparam/11/value (0.0,)
/track/5/fx/6/fxparam/12/value (0.0,)
/track/5/fx/6/fxparam/13/value (0.0,)
/track/5/fx/6/fxparam/14/value (0.0,)
/track/5/fx/6/fxparam/15/value (0.0,)
/track/5/fx/6/fxparam/16/value (0.0,)
/track/5/fx/7/name ('',)
/track/5/fx/7/number/str ('',)
/track/5/fx/7/preset ('',)
/track/5/fx/7/bypass (0.0,)
/track/5/fx/7/openui (0.0,)
/track/5/fx/7/fxparam/1/value (0.0,)
/track/5/fx/7/fxparam/2/value (0.0,)
/track/5/fx/7/fxparam/3/value (0.0,)
/track/5/fx/7/fxparam/4/value (0.0,)
/track/5/fx/7/fxparam/5/value (0.0,)
/track/5/fx/7/fxparam/6/value (0.0,)
/track/5/fx/7/fxparam/7/value (0.0,)
/track/5/fx/7/fxparam/8/value (0.0,)
/track/5/fx/7/fxparam/9/value (0.0,)
/track/5/fx/7/fxparam/10/value (0.0,)
/track/5/fx/7/fxparam/11/value (0.0,)
/track/5/fx/7/fxparam/12/value (0.0,)
/track/5/fx/7/fxparam/13/value (0.0,)
/track/5/fx/7/fxparam/14/value (0.0,)
/track/5/fx/7/fxparam/15/value (0.0,)
/track/5/fx/7/fxparam/16/value (0.0,)
/track/5/fx/8/name ('',)
/track/5/fx/8/number/str ('',)
/track/5/fx/8/preset ('',)
/track/5/fx/8/bypass (0.0,)
/track/5/fx/8/openui (0.0,)
/track/5/fx/8/fxparam/1/value (0.0,)
/track/5/fx/8/fxparam/2/value (0.0,)
/track/5/fx/8/fxparam/3/value (0.0,)
/track/5/fx/8/fxparam/4/value (0.0,)
/track/5/fx/8/fxparam/5/value (0.0,)
/track/5/fx/8/fxparam/6/value (0.0,)
/track/5/fx/8/fxparam/7/value (0.0,)
/track/5/fx/8/fxparam/8/value (0.0,)
/track/5/fx/8/fxparam/9/value (0.0,)
/track/5/fx/8/fxparam/10/value (0.0,)
/track/5/fx/8/fxparam/11/value (0.0,)
/track/5/fx/8/fxparam/12/value (0.0,)
/track/5/fx/8/fxparam/13/value (0.0,)
/track/5/fx/8/fxparam/14/value (0.0,)
/track/5/fx/8/fxparam/15/value (0.0,)
/track/5/fx/8/fxparam/16/value (0.0,)
/track/6/name ('Track 6',)
/track/6/number/str ('6',)
/track/6/select (0.0,)
/track/6/volume/db (-150.0,)
/track/6/volume/str ('-inf dB',)
/track/6/volume (0.0025138729251921177,)
/track/6/panmode ('Balance',)
/track/6/pan2 (0.5,)
/track/6/pan2/str ('',)
/track/6/pan (0.5,)
/track/6/pan/str ('C',)
/track/6/mute (0.0,)
/track/6/mute/toggle (0.0,)
/track/6/solo (0.0,)
/track/6/solo/toggle (0.0,)
/track/6/recarm (0.0,)
/track/6/recarm/toggle (0.0,)
/track/6/monitor (0.0,)
/track/6/autotrim (1.0,)
/track/6/autoread (0.0,)
/track/6/autolatch (0.0,)
/track/6/autotouch (0.0,)
/track/6/autowrite (0.0,)
/track/6/send/1/name ('Send 1',)
/track/6/send/1/volume/str ('-inf dB',)
/track/6/send/1/volume (0.0025138729251921177,)
/track/6/send/1/pan/str ('center',)
/track/6/send/1/pan (0.5,)
/track/6/send/2/name ('Send 2',)
/track/6/send/2/volume/str ('-inf dB',)
/track/6/send/2/volume (0.0025138729251921177,)
/track/6/send/2/pan/str ('center',)
/track/6/send/2/pan (0.5,)
/track/6/send/3/name ('Send 3',)
/track/6/send/3/volume/str ('-inf dB',)
/track/6/send/3/volume (0.0025138729251921177,)
/track/6/send/3/pan/str ('center',)
/track/6/send/3/pan (0.5,)
/track/6/send/4/name ('Send 4',)
/track/6/send/4/volume/str ('-inf dB',)
/track/6/send/4/volume (0.0025138729251921177,)
/track/6/send/4/pan/str ('center',)
/track/6/send/4/pan (0.5,)
/track/6/recv/1/name ('Recv 1',)
/track/6/recv/1/volume/str ('-inf dB',)
/track/6/recv/1/volume (0.0025138729251921177,)
/track/6/recv/1/pan/str ('center',)
/track/6/recv/1/pan (0.5,)
/track/6/recv/2/name ('Recv 2',)
/track/6/recv/2/volume/str ('-inf dB',)
/track/6/recv/2/volume (0.0025138729251921177,)
/track/6/recv/2/pan/str ('center',)
/track/6/recv/2/pan (0.5,)
/track/6/recv/3/name ('Recv 3',)
/track/6/recv/3/volume/str ('-inf dB',)
/track/6/recv/3/volume (0.0025138729251921177,)
/track/6/recv/3/pan/str ('center',)
/track/6/recv/3/pan (0.5,)
/track/6/recv/4/name ('Recv 4',)
/track/6/recv/4/volume/str ('-inf dB',)
/track/6/recv/4/volume (0.0025138729251921177,)
/track/6/recv/4/pan/str ('center',)
/track/6/recv/4/pan (0.5,)
/track/6/fx/1/name ('',)
/track/6/fx/1/number/str ('',)
/track/6/fx/1/preset ('',)
/track/6/fx/1/bypass (0.0,)
/track/6/fx/1/openui (0.0,)
/track/6/fx/1/fxparam/1/value (0.0,)
/track/6/fx/1/fxparam/2/value (0.0,)
/track/6/fx/1/fxparam/3/value (0.0,)
/track/6/fx/1/fxparam/4/value (0.0,)
/track/6/fx/1/fxparam/5/value (0.0,)
/track/6/fx/1/fxparam/6/value (0.0,)
/track/6/fx/1/fxparam/7/value (0.0,)
/track/6/fx/1/fxparam/8/value (0.0,)
/track/6/fx/1/fxparam/9/value (0.0,)
/track/6/fx/1/fxparam/10/value (0.0,)
/track/6/fx/1/fxparam/11/value (0.0,)
/track/6/fx/1/fxparam/12/value (0.0,)
/track/6/fx/1/fxparam/13/value (0.0,)
/track/6/fx/1/fxparam/14/value (0.0,)
/track/6/fx/1/fxparam/15/value (0.0,)
/track/6/fx/1/fxparam/16/value (0.0,)
/track/6/fxinst/name ('',)
/track/6/fxinst/preset ('',)
/track/6/fxinst/bypass (0.0,)
/track/6/fxinst/openui (0.0,)
/track/6/fx/2/name ('',)
/track/6/fx/2/number/str ('',)
/track/6/fx/2/preset ('',)
/track/6/fx/2/bypass (0.0,)
/track/6/fx/2/openui (0.0,)
/track/6/fx/2/fxparam/1/value (0.0,)
/track/6/fx/2/fxparam/2/value (0.0,)
/track/6/fx/2/fxparam/3/value (0.0,)
/track/6/fx/2/fxparam/4/value (0.0,)
/track/6/fx/2/fxparam/5/value (0.0,)
/track/6/fx/2/fxparam/6/value (0.0,)
/track/6/fx/2/fxparam/7/value (0.0,)
/track/6/fx/2/fxparam/8/value (0.0,)
/track/6/fx/2/fxparam/9/value (0.0,)
/track/6/fx/2/fxparam/10/value (0.0,)
/track/6/fx/2/fxparam/11/value (0.0,)
/track/6/fx/2/fxparam/12/value (0.0,)
/track/6/fx/2/fxparam/13/value (0.0,)
/track/6/fx/2/fxparam/14/value (0.0,)
/track/6/fx/2/fxparam/15/value (0.0,)
/track/6/fx/2/fxparam/16/value (0.0,)
/track/6/fx/3/name ('',)
/track/6/fx/3/number/str ('',)
/track/6/fx/3/preset ('',)
/track/6/fx/3/bypass (0.0,)
/track/6/fx/3/openui (0.0,)
/track/6/fx/3/fxparam/1/value (0.0,)
/track/6/fx/3/fxparam/2/value (0.0,)
